rank,citations,citing author name,affiliation,latitude,longitude,country,citing paper title,cited paper title,county,city,state
1,375236,Yann LeCun,Meta,40.729205300000004,-73.99501481290962,United States,The effects of regularization and data augmentation are class dependent,Deflating dataset bias using synthetic data augmentation,New York County,New York,New York
2,236142,Luc Van Gool,Toyota,40.09781915000001,-76.10191371964535,United States,"Sun Off,Lights On: Photorealistic Monocular Nighttime Simulation for Robust Semantic Perception",SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Lancaster County,,Pennsylvania
3,167140,Leon Bottou,Meta,3.5000086,-73.0000086,Colombia,The effects of regularization and data augmentation are class dependent,Deflating dataset bias using synthetic data augmentation,,,Meta
4,163923,Yang Liu,Michigan State Univ.,42.70237935,-84.48038686520441,United States,Transfer Learning via Latent Dependency Factor for Estimating PM 2.5,Deflating dataset bias using synthetic data augmentation,Ingham County,East Lansing,Michigan
5,163923,Yang Liu,Michigan State Univ.,42.70237935,-84.48038686520441,United States,Spatial Transfer Learning for Estimating PM 2.5 in Data-Poor Regions,Deflating dataset bias using synthetic data augmentation,Ingham County,East Lansing,Michigan
6,151390,Shengli Wang,City University of Hong Kong,22.3400204,114.16971664362887,China,Change Detection Based on Existing Vector Polygons and Up-to-Date Images Using an Attention-Based Multi-Scale ConvTransformer Network,DatasetEquity: Are All Samples Created Equal? In The Quest For Equity Within Datasets,,Kowloon,Hong Kong
7,151390,Hua Zhang,City University of Hong Kong,22.3400204,114.16971664362887,China,Change Detection Based on Existing Vector Polygons and Up-to-Date Images Using an Attention-Based Multi-Scale ConvTransformer Network,DatasetEquity: Are All Samples Created Equal? In The Quest For Equity Within Datasets,,Kowloon,Hong Kong
8,133228,Yu Chen,National Cheng Kung University,22.99909895,120.21622951861194,Taiwan,Generating Handwritten Mathematical Expressions From Symbol Graphs: An End-to-End Pipeline,Deflating dataset bias using synthetic data augmentation,,Tainan,
9,129611,Chen Wei,Bristol-Myers Squibb Co.,40.36391895,-74.73344895840222,United States,Towards generalizable tumor synthesis,Deflating dataset bias using synthetic data augmentation,Mercer County,,New Jersey
10,120274,Alan Yuille,Johns Hopkins University,39.33020225,-76.62185357858337,United States,Towards generalizable tumor synthesis,Deflating dataset bias using synthetic data augmentation,,Baltimore,Maryland
11,105634,Fei-Yue Wang,Chinese Academy of Sciences Beijing,39.90933665,116.32971461228999,China,Parallel learning: Overview and perspective for computational learning across Syn2Real and Sim2Real,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Beijing,Beijing
12,105634,Min Huang,Chinese Academy of Sciences Beijing,39.90933665,116.32971461228999,China,Parallel learning: Overview and perspective for computational learning across Syn2Real and Sim2Real,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Beijing,Beijing
13,89110,Simon Jonsson,MIT,42.3582529,-71.0966272383055,United States,Generation of Synthetic Data for Sustainable Fashion Using a Diffusion Model,Deflating dataset bias using synthetic data augmentation,Middlesex County,Cambridge,Massachusetts
14,83177,Raquel Urtasun,University of Toronto.,43.663461999999996,-79.39775966248058,Canada,Neural lighting simulation for urban scenes,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Old Toronto,Ontario
15,81113,Peter Washington,University of Washington,47.65566375,-122.30270741043226,United States,Challenges and opportunities for machine learning classification of behavior and mental state from images,Deflating dataset bias using synthetic data augmentation,King County,Seattle,Washington
16,77614,James Hays,Georgia Institute of Technology,33.776094799999996,-84.3988076699857,United States,LANe: Lighting-aware neural fields for compositional scene synthesis,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Fulton County,Atlanta,Georgia
17,77385,Tinne Tuytelaars,KU Leuven Belgium,50.80571285,3.2915374489139757,Belgium,Unveiling the Ambiguity in Neural Inverse Rendering: A Parameter Compensation Analysis,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Kortrijk,Kortrijk,West Flanders
18,62795,Kate Saenko,Boston University,42.350421499999996,-71.10322831831216,United States,Lasagna: Layered Score Distillation for Disentangled Object Relighting,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Suffolk County,Boston,Massachusetts
19,57482,Jan Kautz,NVIDIA Santa Clara,37.37077465,-121.96271489115585,United States,Training object detection systems with generated images,Neural network image processing,Santa Clara County,Santa Clara,California
20,54200,Billie F Spencer,Urbana-Champaign,40.1117174,-88.207301,United States,Synthetic environments for vision-based structural condition assessment of Japanese high-speed railway viaducts,Deflating dataset bias using synthetic data augmentation,Champaign County,Urbana,Illinois
21,50866,Yang Zhao,uum,2.7341815,32.4279712,Uganda,Mitigating Bias of Deep Neural Networks for Trustworthy Traffic Perception in Autonomous Systems,Deflating dataset bias using synthetic data augmentation,,,Omoro
22,47601,HV Jagadish,University of Michigan,42.2942142,-83.71003893509601,United States,Representation bias in data: A survey on identification and resolution techniques,Deflating dataset bias using synthetic data augmentation,Washtenaw County,Ann Arbor,Michigan
23,47601,HV Jagadish,University of Michigan,42.2942142,-83.71003893509601,United States,A survey on techniques for identifying and resolving representation bias in data,Deflating dataset bias using synthetic data augmentation,Washtenaw County,Ann Arbor,Michigan
24,47073,Xu Zhao,North China Electric Power University,38.8760446,115.4973873,China,Change Detection Based on Existing Vector Polygons and Up-to-Date Images Using an Attention-Based Multi-Scale ConvTransformer Network,DatasetEquity: Are All Samples Created Equal? In The Quest For Equity Within Datasets,,Baoding City,Hebei
25,43574,Stephanie Forrest,Univ. of New Mexico,35.08663275,-106.62020940505188,United States,Automated Program Repair: Emerging trends pose and expose problems for benchmarks,Deflating dataset bias using synthetic data augmentation,Bernalillo County,Albuquerque,New Mexico
26,40968,Dit-Yan Yeung,Hong Kong,22.350627,114.1849161,China,Detdiffusion: Synergizing generative and perceptive models for enhanced data generation and perception,Deflating dataset bias using synthetic data augmentation,,Sha Tin District,Hong Kong
27,39594,Hao Yang,Fuzhou University,26.0614068,119.19334162717391,China,KoMA: Knowledge-driven Multi-agent Framework for Autonomous Driving with Large Language Models,Deflating dataset bias using synthetic data augmentation,,Minhou County,Fujian
28,37690,Ahmad-Reza Sadeghi,Technische Universität Darmstadt,49.86115175,8.681943998674633,Germany,Smarter Contracts: Detecting Vulnerabilities in Smart Contracts with Deep Transfer Learning.,Deflating dataset bias using synthetic data augmentation,,Darmstadt,Hesse
29,36709,"Christoph M{\""u}ller",Potsdam Institute for Climate Impact Research Telegrafenberg ,,,,Using Auto-ML on Synthetic Point Cloud Generation,Deflating dataset bias using synthetic data augmentation,,,
30,34921,Dmitry Ivanov,Berlin School of Economics,52.48516875,13.338271133838324,Germany,Efficacy of Synthetic Data as a Benchmark,Deflating dataset bias using synthetic data augmentation,,Berlin,
31,34921,Dmitry Ivanov,Law,38.6065461,-82.5702511,United States,Efficacy of Synthetic Data as a Benchmark,Deflating dataset bias using synthetic data augmentation,Lawrence County,,Ohio
32,34831,Anima Anandkumar,NVIDIA Santa Clara,45.5344957,-122.886274,United States,Simulation intelligence: Towards a new generation of scientific methods,Deflating dataset bias using synthetic data augmentation,Washington County,Hillsboro,Oregon
33,34831,Anima Anandkumar,California Institute of Technology,34.13701375,-118.12528833668254,United States,Simulation intelligence: Towards a new generation of scientific methods,Deflating dataset bias using synthetic data augmentation,,Pasadena,California
34,34061,Paul Newman,University of Oxford,51.75870755,-1.2556684826092037,United Kingdom,Visual dna: Representing and comparing images using distributions of neuron activations,deepPIC: Deep perceptual image clustering for identifying bias in vision datasets,Oxfordshire,Oxford,England
35,34029,Jayashree Kalpathy-Cramer,University of Colorado,40.00759835,-105.26910078017822,United States,Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model deployment,Deflating dataset bias using synthetic data augmentation,Boulder County,Boulder,Colorado
36,32948,Farinaz Koushanfar,UC San Diego,32.77249785,-117.1880311872546,United States,Smarter Contracts: Detecting Vulnerabilities in Smart Contracts with Deep Transfer Learning.,Deflating dataset bias using synthetic data augmentation,,San Diego,California
37,32377,Yiran Chen,Duke University,36.00015569999999,-78.94422972195878,United States,Mitigating Bias of Deep Neural Networks for Trustworthy Traffic Perception in Autonomous Systems,Deflating dataset bias using synthetic data augmentation,Durham County,Durham,North Carolina
38,31511,Mohammed Bennamoun,University of Western Australia,-31.95040445,115.79790157357621,Australia,Semantically-aware Neural Radiance Fields for Visual Scene Understanding: A Comprehensive Review,LANe: Lighting-Aware Neural Fields for Compositional Scene Synthesis,City of Nedlands,,Western Australia
39,31511,Anthony Brunel,University of Western Australia,-31.95040445,115.79790157357621,Australia,Semantically-aware Neural Radiance Fields for Visual Scene Understanding: A Comprehensive Review,LANe: Lighting-Aware Neural Fields for Compositional Scene Synthesis,City of Nedlands,,Western Australia
40,30286,Xin Xu,National University of Singapore,1.2962018,103.77689765953073,Singapore,Patch-Mixing Contrastive Regularization for Few-Label Semi-Supervised Learning,Deflating dataset bias using synthetic data augmentation,,Singapore,
41,30090,Nasir Memon,Tandon School of Engineering,40.6946918,-73.982965,United States,A dataless faceswap detection approach using synthetic images,Deflating dataset bias using synthetic data augmentation,,New York,New York
42,27821,Alois Knoll,Technische Universität München,48.2655696,11.669345610437997,Germany,Multi-agent reinforcement learning for autonomous driving: A survey,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Landkreis München,,Bavaria
43,24803,others,UK,54.7023545,-3.2765753,United Kingdom,Simulation intelligence: Towards a new generation of scientific methods,Deflating dataset bias using synthetic data augmentation,Cumberland,,England
44,24803,others,UK,54.7023545,-3.2765753,United Kingdom,Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model deployment,Deflating dataset bias using synthetic data augmentation,Cumberland,,England
45,24803,others,UK,54.7023545,-3.2765753,United Kingdom,Detdiffusion: Synergizing generative and perceptive models for enhanced data generation and perception,Deflating dataset bias using synthetic data augmentation,Cumberland,,England
46,24803,others,UK,54.7023545,-3.2765753,United Kingdom,Semantics for vision-and-language understanding,Deflating dataset bias using synthetic data augmentation,Cumberland,,England
47,24328,Phillip Vu,VU University,52.3340539,4.865188201518784,Netherlands,"Active data collection,sampling,and generation for use in training machine learning models for automotive or other applications",Neural network image processing,,Amsterdam,North Holland
48,23527,Julian Togelius,modl.ai,,,,A dataless faceswap detection approach using synthetic images,Deflating dataset bias using synthetic data augmentation,,,
49,22382,Aashish JAIN,Institute of Medical Education and Research,11.9510632,79.80052599401861,India,Automatic Image Conversion,Neural network image processing,Ozhukarai Taluk,,Puducherry
50,22363,Jian Pu,Nanjing Tech University,,,,Leveraging Smooth Deformation Augmentation for LiDAR Point Cloud Semantic Segmentation,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,,
51,22121,Antonio M Lopez Pena,Autònoma de Barcelona (UAB),41.50155265,2.106260723986069,Spain,Co-training for on-board deep object detection,Deflating dataset bias using synthetic data augmentation,Vallès Occidental,,Catalonia
52,21359,Marinka Zitnik,Harvard University,42.365743249999994,-71.12221394207614,United States,Few shot learning for phenotype-driven diagnosis of patients with rare genetic diseases,Deflating dataset bias using synthetic data augmentation,Suffolk County,Boston,Massachusetts
53,19654,Xiangyang Xue,Fudan University,31.30116485,121.49808756382322,China,Leveraging Smooth Deformation Augmentation for LiDAR Point Cloud Semantic Segmentation,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Yangpu District,Shanghai
54,19506,Westley Weimer,University of Michigan,42.2942142,-83.71003893509601,United States,Automated Program Repair: Emerging trends pose and expose problems for benchmarks,Deflating dataset bias using synthetic data augmentation,Washtenaw County,Ann Arbor,Michigan
55,19075,Yozo Fujino,Yokohama National University,,,,Synthetic environments for vision-based structural condition assessment of Japanese high-speed railway viaducts,Deflating dataset bias using synthetic data augmentation,,,
56,18810,Sanjay Choudry,Chaudhary Charan Singh Haryana Agricultural University Hisar,29.14538425,75.70431860267045,India,Simulation intelligence: Towards a new generation of scientific methods,Deflating dataset bias using synthetic data augmentation,Hisar,Hisar,Haryana
57,18702,Jenq-Neng Hwang,University of Washington,47.65566375,-122.30270741043226,United States,Mitigating Bias of Deep Neural Networks for Trustworthy Traffic Perception in Autonomous Systems,Deflating dataset bias using synthetic data augmentation,King County,Seattle,Washington
58,17847,Ranjay Krishna,University of Washington,47.65566375,-122.30270741043226,United States,Lasagna: Layered Score Distillation for Disentangled Object Relighting,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,King County,Seattle,Washington
59,17646,Eyal Ofek,UK,54.7023545,-3.2765753,United Kingdom,CityLifeSim: A High-Fidelity Pedestrian and Vehicle Simulation with Complex Behaviors,Deflating dataset bias using synthetic data augmentation,Cumberland,,England
60,16797,Ashish Kapoor,Scaled Foundations Kirkland,,,,CityLifeSim: A High-Fidelity Pedestrian and Vehicle Simulation with Complex Behaviors,Deflating dataset bias using synthetic data augmentation,,,
61,16673,Olivier Salvado,The Commonwealth Scientific and Industrial Research Organisation,,,,Synthetic Data for Deep Learning in Computer Vision \& Medical Imaging: A Means to Reduce Data Bias,Deflating dataset bias using synthetic data augmentation,,,
62,15757,Daniel McDuff,University of Washington,47.65566375,-122.30270741043226,United States,CityLifeSim: A High-Fidelity Pedestrian and Vehicle Simulation with Complex Behaviors,Deflating dataset bias using synthetic data augmentation,King County,Seattle,Washington
63,15757,Daniel McDuff,Google,33.977092,-118.4092133,United States,CityLifeSim: A High-Fidelity Pedestrian and Vehicle Simulation with Complex Behaviors,Deflating dataset bias using synthetic data augmentation,Los Angeles County,Los Angeles,California
64,15678,Berkman Sahiner,Drug Administration,43.0766528,-89.3818615,United States,Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model deployment,Deflating dataset bias using synthetic data augmentation,Dane County,Madison,Wisconsin
65,15678,Berkman Sahiner,US Food,34.0440296,-118.4213724,United States,Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model deployment,Deflating dataset bias using synthetic data augmentation,Los Angeles County,Los Angeles,California
66,15678,Berkman Sahiner,ARPA-H,43.3589862,-8.403763,Spain,Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model deployment,Deflating dataset bias using synthetic data augmentation,A Coruña,A Coruña,Galicia
67,14761,Zhenguo Li,PKU,39.99171495,116.30393496863539,China,Detdiffusion: Synergizing generative and perceptive models for enhanced data generation and perception,Deflating dataset bias using synthetic data augmentation,,Haidian District,Beijing
68,14700,Yandong Wang,Georgia Institute of Technology,33.776094799999996,-84.3988076699857,United States,Semi-Supervised Domain Adaptation With Dual-Adversarial Learning for Lane Detection,Deflating dataset bias using synthetic data augmentation,Fulton County,Atlanta,Georgia
69,14580,Vaibhav Kumar,Georgia Institute of Technology,33.776094799999996,-84.3988076699857,United States,Role of Simulated Lidar Data for Training 3D Deep Learning Models: An Exhaustive Analysis,Deflating dataset bias using synthetic data augmentation,Fulton County,Atlanta,Georgia
70,14134,Zhigang Xu,Southwest University (西南大学),29.823237149999997,106.41958835875167,China,Deep transfer learning for intelligent vehicle perception: A survey,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Beibei,Chongqing
71,13898,Sanmi Koyejo,Stanford University,37.431313849999995,-122.16936535498309,United States,Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model deployment,Deflating dataset bias using synthetic data augmentation,Santa Clara County,,California
72,13669,Shihong Zhang,Beijing,40.190632,116.412144,China,Semi-Supervised Domain Adaptation With Dual-Adversarial Learning for Lane Detection,Deflating dataset bias using synthetic data augmentation,,Changping District,Beijing
73,12924,Zongwei Zhou,Johns Hopkins University,39.33020225,-76.62185357858337,United States,Towards generalizable tumor synthesis,Deflating dataset bias using synthetic data augmentation,,Baltimore,Maryland
74,12902,Jinwoo Shin,Korea Advanced Institute of Science & Technology ,36.3697191,127.36253700115094,South Korea,Discovering and Mitigating Visual Biases through Keyword Explanation,deepPIC: Deep perceptual image clustering for identifying bias in vision datasets,,Daejeon,
75,12696,Clinton Fookes,Queensland University of Technology,-27.45122955,153.01621943949505,Australia,Synthetic Data for Deep Learning in Computer Vision \& Medical Imaging: A Means to Reduce Data Bias,Deflating dataset bias using synthetic data augmentation,,,Queensland
76,12358,George Drettakis,Inria Center at Université Côte d'Azur,,,,A Diffusion Approach to Radiance Field Relighting using Multi-Illumination Synthesis,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,,
77,12181,Dennis P Wall,Stanford University,37.431313849999995,-122.16936535498309,United States,Challenges and opportunities for machine learning classification of behavior and mental state from images,Deflating dataset bias using synthetic data augmentation,Santa Clara County,,California
78,11241,Rakesh Ranjan,BIRLA INSTITUTE OF TECHNOLOGY MESRA RANCHI,23.417569450000002,85.43940936666918,India,Genethos: A synthetic data generation system with bias detection and mitigation,Deflating dataset bias using synthetic data augmentation,Kanke,,Jharkhand
79,10508,Suresh Neethirajan,Canada,61.0666922,-107.991707,Canada,Integrating Artificial Intelligence in Dairy Farm Management-Biometric Facial Recognition for Cows,Deflating dataset bias using synthetic data augmentation,South Slave Region,,Northwest Territories
80,10285,Yisheng Lv,Chinese Academy of Sciences Beijing,39.90933665,116.32971461228999,China,Parallel learning: Overview and perspective for computational learning across Syn2Real and Sim2Real,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Beijing,Beijing
81,9886,Omer T Inan,Georgia Institute of Technology,33.776094799999996,-84.3988076699857,United States,Synthetic seismocardiogram generation using a transformer-based neural network,Deflating dataset bias using synthetic data augmentation,Fulton County,Atlanta,Georgia
82,9696,Qiang Xu,The Chinese University of Hong Kong,22.4201838,114.20791453524086,China,Detdiffusion: Synergizing generative and perceptive models for enhanced data generation and perception,Deflating dataset bias using synthetic data augmentation,,Sha Tin District,Hong Kong
83,9371,Nancy Thomas,Thomas W.,39.713986,-82.610517,United States,Tree-Based Structural Representation and Difference Computation for PDF Documents,Deflating dataset bias using synthetic data augmentation,Fairfield County,Lancaster,Ohio
84,9237,Kyle Myers,Center for Devices,31.52796285,34.45372263909137,Palestinian Territories,Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model deployment,Deflating dataset bias using synthetic data augmentation,,Gaza,
85,9237,Kyle Myers,Radiological Health,35.14077,33.3390584,Cyprus,Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model deployment,Deflating dataset bias using synthetic data augmentation,Strovolos Municipality,,Cyprus
86,9207,Yihu Zhu,Chinese Academy of Sciences Beijing,39.90933665,116.32971461228999,China,Change Detection Based on Existing Vector Polygons and Up-to-Date Images Using an Attention-Based Multi-Scale ConvTransformer Network,DatasetEquity: Are All Samples Created Equal? In The Quest For Equity Within Datasets,,Beijing,Beijing
87,8997,Jianming Zhang,Adobe Research,47.5549905,7.5899398,Switzerland,Lasagna: Layered Score Distillation for Disentangled Object Relighting,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Basel,Basel-City
88,8968,David Krakauer,Santa Fe Institute.,35.700326849999996,-105.90881561569873,United States,Simulation intelligence: Towards a new generation of scientific methods,Deflating dataset bias using synthetic data augmentation,Santa Fe County,Santa Fe,New Mexico
89,8956,Shalini De Mello,NVIDIA Santa Clara,37.37077465,-121.96271489115585,United States,Training object detection systems with generated images,Neural network image processing,Santa Clara County,Santa Clara,California
90,8746,Zhiwei Xiong,University of Science,51.51426105,-0.11673351981492822,United Kingdom,Towards generalizable tumor synthesis,Deflating dataset bias using synthetic data augmentation,,London,England
91,8746,Zhiwei Xiong,Technology of China,31.2787148,120.72376292616886,China,Towards generalizable tumor synthesis,Deflating dataset bias using synthetic data augmentation,,Suzhou Industrial Park,Jiangsu
92,8649,Nannan Wang,Xidian University,34.1251589,108.82896528504287,China,Generating Handwritten Mathematical Expressions From Symbol Graphs: An End-to-End Pipeline,Deflating dataset bias using synthetic data augmentation,,Chang'an District,Shaanxi
93,8645,Siddhartha Gupta,Kapilvastu,27.61923765,82.98222657989004,Nepal,Role of Simulated Lidar Data for Training 3D Deep Learning Models: An Exhaustive Analysis,Deflating dataset bias using synthetic data augmentation,Kapilvastu,,
94,8392,Venice Erin Baylon Liong,Motional Massachusetts,,,,Machine learning-based framework for drivable surface annotation,Enhanced vehicle operation,,,
95,8392,Zhuang Jie Chong,Motional Massachusetts,,,,Machine learning-based framework for drivable surface annotation,Enhanced vehicle operation,,,
96,8341,Chirag Shah,University of Washington,47.65566375,-122.30270741043226,United States,Detecting spurious correlations via robust visual concepts in real and AI-generated image classification,Deflating dataset bias using synthetic data augmentation,King County,Seattle,Washington
97,8341,Chirag Shah,University of Washington,47.65566375,-122.30270741043226,United States,Addressing weak decision boundaries in image classification by leveraging web search and generative models,Deflating dataset bias using synthetic data augmentation,King County,Seattle,Washington
98,8295,Tim Mattson,Human Learning Group,,,,Simulation intelligence: Towards a new generation of scientific methods,Deflating dataset bias using synthetic data augmentation,,,
